"Id","Region","River Name","Section","Class","Class (decimal)","Length","Gradient","Time","Put in","Take out","Body"
"https://rivers.org.nz/nz/canterbury/acheron/chimney-stream-to-clarence","Canterbury","Acheron","Chimney Stream to Clarence","I-II+","1.6","10km","","2-6 hours","","Just below the Clarence confluence.","<p>The Acheron lies in the wide open spaces of inland Marlborough and with road access for all its length it's a good paddle for those who like scenery with their paddling. Most of the river is easy single channel with a few corners, but there are a number of bedrock rapids which require class II and III skills to negotiate. The river is best with flows in the 20-50 cumecs flow range, but it is still a scenic float plus bony rapids run at 15-20 cumecs.</p><p>The put in can suit your timetable, but about 25km upriver the river is braided Class I and mostly of interest for bird watchers and fishers. The access is via the Molesworth road via Hanmer Springs and Jacks Pass and access details are available on DoC website. Generally you can get on this road between Christmas and early April, but kayakers can ask DoC Marlborough or DoC Waimakariri for access. The road is OK for cars with reasonable ground clearance.</p>"
"https://rivers.org.nz/nz/west-coast/adams/to-wanganui","West Coast","Adams","To Wanganui","V","5","","","","","",""
"https://rivers.org.nz/nz/west-coast/ahaura/waikiti-to-ahaura","West Coast","Ahaura","Waikiti to Ahaura","II","2","","","","On Waikiti river","","<p>Put-in on Waikiti River at bridge<br /><a href=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.567549,171.886662&z=14&pin=1"" title=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.567549,171.886662&z=14&pin=1"">http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.567549,171.886662&z=14&pin=1</a><br />Paddle braids into gorge.</p><p>Camp overnight on river flats in gorge. After gorge, braids return.</p><p>Take-out at Ahaura<br /><a href=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.350671,171.537418&z=14&pin=1"" title=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.350671,171.537418&z=14&pin=1"">http://www.topomap.co.nz/NZTopoMap?v=2&ll=-42.350671,171.537418&z=14&pin=1</a></p>"
"https://rivers.org.nz/nz/otago/ahuriri/ahuriri-drop","Otago","Ahuriri","Ahuriri Drop","II","2","","","","","",""
"https://rivers.org.nz/nz/wellington/akatarawa/akatarawa-karapoti-to-hutt-river","Wellington","Akatarawa","Karapoti to Hutt River","II+","2.25","4.4km","9m/km","1-2 hours","At first bridge on Karapoti Rd, off Akatarawa Road","At Hutt River confluence just off Akatarawa Road","<p>The Akas run is well-known by Wellington kayakers as the run you do if the Hutt Gorge is too high or if you are not yet ready to tackle the Gorge. Many a budding kayaker has cut their teeth as it were on the Akas on weekend mornings and/or after work in the evenings.</p><p>Being only 10 minutes from Hutt Valley Canoe Club clubrooms this is the local learners trip. However it does need some rain to make it fun.</p><p>Starting at the first bridge at Karapoti, the river leads down to a small drop which can provide some playing at good flows. 2 km of easy rock gardens brings you to another small wave with an excellent eddy where new paddlers can learn to surf at the right flows.</p><p>Another 1.5 km of easy rock gardens culminates in a steeper rapid after a left hand bend which has 2 routes. The right hand route has most water at lower flows but has some rocks to avoid as you drop down. A right hand bend follows as you head down to the Wall Rapid.</p><p>The Wall rapid is easy grade III  but can be intimidating to new paddlers. Run it on the right or paddle to the left and portage over a few rocks.</p><p>Another 1.5km and you are at the confluence with the Hutt River. If you left your car here paddle across the Hutt and take out. Otherwise carry on for another 2 or so km to the Hutt Valley Canoe Club and exit up the steps.</p><p>At high flows the Akas washes out and is a fast 0.5 hour run with few waves but plenty of swirly stuff and 1-2 holes. At high flows swimmers will take a while to make the banks and boat rescue can be tricky as the eddies wash out.</p><p>"
"https://rivers.org.nz/nz/tasman/anatoki/anatoki-hut-to-anatoki-valley-sawmill","Tasman","Anatoki","Anatoki Hut to Anatoki Valley sawmill","IV-V","4.5","15km","80m/km","14 hrs","Anatoki Hut or gravel beach","Anatoki Valley sawmill","<p>First run in December 1996 by a team from Nelson this creek can only be described as 'radical' and is the flag bearer for the Golden Bay runs and 8 cumecs is all that is required to make it a goer. If you haven't done the Anatoki you haven't done anything and if you go in prepared for anything - you will find it. If you are feeling lucky you could go without some food and overnight gear in your boat but most will want this as insurance - oh and don't expect any nice campsites if you do spend the night in there.<br />""A mix of mank and absolute classic drops but you have to work pretty hard for it all"" says Trent Garnham who managed a 2006 lightning fast run in 10hours with a very strong team! The Anatoki in good flow is just ten cumecs. The first 500m is flat and provides a chance for a warm up - yeah right!<br />The action comes at you for the next couple of hours in the form of some multiple drops and slides with small pools between. The section ends with a 5m waterfall and a small lake behind a slip. Just when you thought it was steep enough it gets steeper as the next 7km drops at 80m/km. This section is essentially a long and very steep rock garden and most things will need to be scouted.<br />Travelling at speeds of less than 1km/ hour is common but the portages are short and not difficult. Approximately two kilometres above Anatoki Bend are two nice, four metre waterfalls, the first can be portaged but the second is a clean drop into a big pool and can't be portaged. Shortly after this is a gravel beach which has okay camping for a multi day trip or provides a landing zone and starting point for a one day.<br />To get to the take out; from Takaka drive towards nelson for 2km. Turn right onto Anatoki Valley rd and drive approximately 5km, passing Bencarri Farm Park. Either park and fly from the old sawmill (you must ask the farmers permission to land the helicopter and cross his land) or further up the valley where the river meets the road before Happy Sam's Farm.</p>"
"https://rivers.org.nz/nz/tasman/aorere/fifteen-mile-creek-to-james-road-bridge","Tasman","Aorere","Fifteen Mile Creek to James Road bridge","II (III)","2.2","9km","","","15 mile creek, or if that seems a bit infested then Salisbury Creek bridge","James Rd Bridge","<p>A bit like Doctor's Creek on the Buller, only more beautiful, and with 1 slightly harder bit. The harder rapid that gets towards grade 3 at times is at the end of the gorge where it opens out to farmland, and is easily seen and portaged if necessary.</p><p>15 Mile Creek to James Rd is about 9 km.<br />For a longer trip, of about another 7 km, you can put in a km before the Heaphy Track road-end.</p><p>At higher flows (perhaps from 100-300, but certainly in the mid 200s) there is a playwave at the junction of Bainham Creek, 2.5 km before James Rd.  When working this rates up there with the best in the country.  It can be hard to get the flow right so have a backup plan, eg the lower Takaka in good flow is a fantastic play-run.</p><p>Be aware that the Aorere rises further and faster than just about any river in the country, and is to be avoided in major flood.</p><p>Salisbury Creek falls has been paddled, in case you're wondering.</p>"
"https://rivers.org.nz/nz/tasman/aorere/bainham-wave","Tasman","Aorere","Bainham wave","III","3","","","","Confluence of Aorere and Bainham Creek","Confluence of Aorere and Bainham Creek","<p>The wave is on the grade 2/3 Aorere gorge section, but you can also park and play. Impeccable eddy service is provided by the groynes built for flood protection.</p><p>For park and play ask at Gareth Scott's place, on the corner of Cook Rd 1.1 km up Aorere Valley Rd from the historic Langford's store. Or phone 524-8968.<br />Turn off at the double farm gate on the left another 400m up the valley, ie 1.5km from the store, and park 100m down the cattle track where it meets the river. Walk 200m upstream and you'll find a spot where you can see the wave and also easily duck under the electric fence.</p><p>https://www.google.co.nz/maps/@-40.7760287,172.5549872,269m/data=!3m1!1e3</p><p>The Aorere has huge floods, with an annual average high of 2000 cumecs and a record of 3500.   It goes up and down extremely quickly, more than just about any other river in the country. . 100 cumecs in 15 minutes is quite possible.   So to catch the wave you usually need to be there within hours of a decent downpour.  Keep a close eye on flow and rain graphs to figure out when.</p>"
"https://rivers.org.nz/nz/west-coast/arahura/arahura-gorges","West Coast","Arahura","Arahura Gorges","IV-V","4.5","15.2km","21m/km","4.5-8 hours","above third gorge near Newton Creek","Arahura Bridge above Milltown","<p>One of the most sought after and enjoyed runs in New Zealand. The Arahura rates as one of the great kayaking runs in the world. It has a wide range of runnable flow levels, great scenery, wild location and stunning whitewater. The Arahura is often described as one of the most 'fair' West Coast Rivers - what you see is what you get - there are very few nasties in disguise. It benchmarks good honest boating.<br />In 1986 Hugh Canard and two companions made what is thought to be the first kayak descent beginning near Olderog Creek. In 1993 Bruce Barnes investigated and ran Third Gorge. By the end of that season at least four other teams had sampled the delights and word began to spread. In 1984 Bruce and Mick et al flew in through Styx Saddle and paddled from the top of the river, adding a class III+ section that is good when there is a good flow in the river. Rafts even made the scene with the first descent by raft in 2002. In 2006 Dave Kwant and JJ added another chapter by flying to Harmen Hut and reported a funky 'gotta do it once' adventure in the upper Arahura Stream down to Styx Saddle and out in 6.5 hours with good water level!<br />From the normal put in busy class III-IV rock gardens lead into Third Gorge. Half a kilometre in is Curtain Call, one of the most photographed drops on the coast and worthy of all of them. Do what ever you do and smile for the camera(s). A couple of hundred metres further down is Dent Falls (the next most photographed drop on the coast). Scouting is easiest on the right side. Dent has been run any number of ways successfully, and unsuccessfully. Life stays busy for another half kilometre below Dent Falls before the intensity eases until Olderog Creek (there is a hut here).<br />Tight, class IV+ leads into Second Gorge and the technical crux of the Arahura. Billiards is a steep, punchy rapid with some testing hydraulics. Station a throw bagger next to them. Dave Mills lead the way in Billiards rescues on one trip by pulling two people (who were window shading in the hole) onto the rock, still in their boats, giving them the brief on the rest of the rapid before shoving them back in to finish off! This benevolent deed was unjustly rewarded in Jan 2005 when Dave swam at Billiards and went through a very long underwater sieve. There is an 'alternate route' down the left side and the 'alternate alternate' route on the far left. Another 200m of steep water and the gradient eases except for the one rapid everyone forgets - 'Alzheimer's'. Class I and II make up the 2-3km down to the Cesspit.<br />If you've already decided against the final gorge, the track is on river left about 150m before the gorge starts. If you miss this take out on river left above the 'pit' and thrash up the creek to the track. 15-20 minutes will see you back at the river for the final few kilometres of class II-III water to the take out. Expect a gradient of 36m/km in the first 5 kilometre easing to 21m/km.<br />Scouting the Cesspool entry is easy from the either side. There are a number of alternatives if choosing to paddle. The honest choice is to run down the middle and make the fine line across the turning curtain of water and open book corner.  Once landed hold onto your hat and avoid the hole (left) and cave (right) and the new rocks that have appeared. Or, drop in from the right over the rock ledge for the 3.5m boof (it's shallow in there so make sure to flat land), grovel around the tricky rock and do as the first option. Or, portage on the left side and seal launch into the big pool for the last class IV gorge with some fantastic moves.</p>"
"https://rivers.org.nz/nz/west-coast/arahura/milltown-gorge","West Coast","Arahura","Milltown Gorge","II-III","2.5","10km","","as long as you want","Anywhere along the road to the Arahura helicopter pick up","Arahura River Road end","<p>The Milltown Gorge on the lower Arahura has been used for years by teaching groups and offers a nice trip for novice paddlers on the coast rather than driving shuttles or sitting at helicopter pick ups. The gorge itself has a half dozen or so Class II+/III rapids with some fun little play spots and good practice eddies. Good play boating when really high.</p><p>The best way to shuttle is to ride a mountain bike along the forestry road which parallels the river (but has a locked gate you have to climb over) this takes about as long as driving and is better for your health! The car shuttle is a little complex and you"
